Unique,ID,Author,Year,Study Type,Region,Habitat,Predator Type,Prey Type,Basal Resource Type,System,Response Type,Response Variable,Response Metric,Control Mean,Control Sample,Control CI.95,Control CI.85,Control t Distribution Value,Control StdErr,Control StdDev,Treatment Mean,Treatment Sample Size,Treatment CI.95,Treatment CI.85,Treatment t Distribution Value,Treatment StdErr,Treatment StdDev,Effect Size,Relative Difference,Notes
57,22,Frix et al.,1991,Field Experiment,United States,Salt marsh,Bird,Crab,Crab,Bird_Crab,RITR,Retreat distance into burrow,mm,59.4,91,,,,3.32,31.67078149,86,91,,,,2.37,22.60835907,0.37005307,0.447811448,"Data extracted from Table 2, using sand fiddler before and after predator cue."
58,22,Frix et al.,1991,Field Experiment,United States,Salt marsh,Bird,Crab,Crab,Bird_Crab,RITR,Retreat distance into burrow,mm,39.1,64,,,,2.06,16.48,82,64,,,,3.13,25.04,0.74059678,1.097186701,"Data extracted from Table 2, using marsh fiddler before and after predator cue."
59,23,Cannicci et al.,2002,Field Experiment,Kenya,Mangrove,Crab,Crab,Crab,Crab_Crab,RITR,Ratio of non-stopping to stopping crabs,,0.9125,6,0.45,,5.141163671,,0.214400952,0.2125,6,0.1875,,5.141163671,,0.08933373,-1.457246097,-0.767123288,"Data extracted from Fig. 4 using the control and Epixanthus treatments only. Sample size of 6 was used, representing the number of recording sessions for each treatment. "
60,23,Cannicci et al.,2002,Field Experiment,Kenya,Mangrove,Crab,Crab,Crab,Crab_Crab,RITR,No. of stops per crab,Count,1.225,6,0.4,,5.141163671,,0.190578624,2.25,6,0.4,,5.141163671,,0.190578624,0.607989372,0.836734694,"Data extracted from Fig. 4 using the control and Epixanthus treatments only. Sample size of 6 was used, representing the number of recording sessions for each treatment. "
61,23,Cannicci et al.,2002,Field Experiment,Kenya,Mangrove,Crab,Crab,Crab,Crab_Crab,RITR,Duration of stop per crab,Minutes,0.8403,6,0.1513,,5.141163671,,0.072086364,1.378,6,0.303,,5.141163671,,0.144363308,0.494629481,0.639890515,"Data extracted from Fig. 4 using the control and Epixanthus treatments only. Sample size of 6 was used, representing the number of recording sessions for each treatment. "
62,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Tentacle speed,cm/s,0.091,100,,,,,0.027,0.149,100,,,,,0.035,0.493086799,0.637362637,Data extracted from Table 1
63,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Tentacle taps,Taps/min,16.2,20,,,,,3.5,27.2,20,,,,,7.4,0.518205731,0.679012346,Data extracted from Table 1
64,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Snail speed,cm/s,0.098,40,,,,,0.025,0.152,40,,,,,0.038,0.438913042,0.551020408,Data extracted from Table 2 - Cephalic tentacle
65,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Snail speed,cm/s,0.087,40,,,,,0.027,0.145,40,,,,,0.039,0.510825624,0.666666667,Data extracted from Table 2 - Anterior foot
66,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Snail speed,cm/s,0.096,40,,,,,0.023,0.15,40,,,,,0.028,0.446287103,0.5625,Data extracted from Table 2 - Posterior foot
67,24,Dix and Hamilton,1993,Mesocosm Experiment,United States,Salt marsh,Snail,Snail,Snail,Snail_Snail,RITR,Average snail speed,cm/s,0.0888,40,,,,,0.0319,0.1662,40,,,,,0.0389,0.626805232,0.871621622,"Data extracted from Figure 1, control and M. carona treatments only"
